
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
   1099: B     89-N-W-1     5-  9   hrs=0.0667 mi= 2.094 mph=31.4
   1100: B     89-N-W-2     1-  5   hrs=0.0500 mi= 1.782 mph=35.6
   1101: B     89-S-W-1    25- 31   hrs=0.0833 mi= 2.725 mph=32.7
   1102: B     89-S-W-2    36- 46   hrs=0.0833 mi= 2.779 mph=33.3
   1103: B    89M-N-W-1     1-  5   hrs=0.0500 mi= 1.782 mph=35.6
   1104: B    89M-S-W-1    46- 52   hrs=0.0833 mi= 2.725 mph=32.7
   3136: B     8W-N-W-1    25- 28   hrs=0.1500 mi= 5.172 mph=34.5
   3138: B     8W-S-W-1     1-  3   hrs=0.1667 mi= 5.099 mph=30.6
   1107: B     8X-N-W-1    33- 35   hrs=0.1500 mi= 5.078 mph=33.9
   1108: B     8X-S-W-1     1-  3   hrs=0.1667 mi= 5.102 mph=30.6
   1109: B     8Z-N-W-1    36- 38   hrs=0.1500 mi= 5.078 mph=33.9
   1110: B     8Z-S-W-1     1-  3   hrs=0.1667 mi= 5.102 mph=30.6
  23497: B     96-E-S-1    81- 89   hrs=0.0833 mi= 2.796 mph=33.5
  23498: B     96-E-S-2    45- 53   hrs=0.0833 mi= 2.796 mph=33.5
  23499: B     96-E-S-3    54- 62   hrs=0.0833 mi= 2.796 mph=33.5
  23512: B     96-W-S-2    12- 20   hrs=0.0833 mi= 2.777 mph=33.3
  23513: B     96-W-S-3    12- 20   hrs=0.0833 mi= 2.777 mph=33.3
  23500: B     96-E-U-1    81- 89   hrs=0.0833 mi= 2.796 mph=33.5
  23501: B     96-E-U-2    45- 53   hrs=0.0833 mi= 2.796 mph=33.5
  23514: B     96-W-U-1    12- 20   hrs=0.0833 mi= 2.777 mph=33.3
  23493: B     96-E-W-1    54- 62   hrs=0.0833 mi= 2.796 mph=33.5
